"Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.27398998955496,0.208191141616025,6.11932851544964,3.53839045011008e-09
"Superficie_log",-0.274615377010818,0.0500833320400092,-5.48316906693509,1.00753789484427e-07
"Ratio_abonnes_log",0.402643950378851,0.102247024362525,3.93795274619675,0.00010620580553201
