"Relation","N","Coefficient","Valeur_p","R_carre"
"Population desservie",294,-0.088,"0.13",0.008
"Heures d'ouverture",294,-0.088,"0.133",0.008
"Nombre de succursales",294,-0.094,"0.108",0.009
"Superficie",257,-0.072,"0.247",0.005
"Ratio abonnés/population",294,0.222,"< 0.001",0.049
