"Nom_bibliotheque","Groupe","Population_desservie","Nb_succursales","Heures_ouverture","Superficie","Ratio_abonnes_population","Indice_ressources_technologiques","Profil"
"Wellington County",1,99200,14,763,98045,0.2340625,-0.0871417604658929,"Grands réseaux de bibliothèques"
"West Grey Twp",2,12518,3,62,5100,0.0799648506151142,-0.23952038285978,"Bibliothèques locales intermédiaires"
"West Lincoln Twp",2,14500,3,79,21073,0.0762068965517241,-0.214389837613199,"Bibliothèques locales intermédiaires"
"West Nipissing",1,11809,5,95,15674,0.222711491235498,-0.212099839059348,"Grands réseaux de bibliothèques"
"West Perth",2,8865,1,54,10900,0.298589960518895,-0.255934797177848,"Bibliothèques locales intermédiaires"
"Westport",2,590,1,19,1728,0.574576271186441,0.071505588055471,"Bibliothèques locales intermédiaires"
"Whitby",1,137300,3,104,68000,0.375724690458849,-0.20904535539154,"Grands réseaux de bibliothèques"
"Whitchurch-Stouffville",2,30705,1,45.5,32000,0.512424686533138,-0.171841712561411,"Bibliothèques locales intermédiaires"
"White River Twp",2,645,1,16,1636,0.345736434108527,0.070882917934934,"Bibliothèques locales intermédiaires"
"Whitefish River FN",2,416,2,60,745,0.21875,-0.00662814488818327,"Bibliothèques locales intermédiaires"
"Whitestone-Hagerman Memorial",3,821,1,27,2500,0.683313032886724,1.0125422660997,"Petites bibliothèques à forte offre technologique"
"Whitewater Region",2,5681,3,42,2838,0.324942791762014,-0.207008596817372,"Bibliothèques locales intermédiaires"
"Windsor",1,224134,10,524,103887,0.400193634165276,-0.218600437218449,"Grands réseaux de bibliothèques"
"Wollaston",2,670,1,16,768,0.464179104477612,-0.210721886592346,"Bibliothèques locales intermédiaires"
"Woodstock",2,40902,1,49.5,24200,0.264656984988509,-0.252120729125186,"Bibliothèques locales intermédiaires"
