"Nom_bibliotheque","Groupe","Population_desservie","Nb_succursales","Heures_ouverture","Superficie","Ratio_abonnes_population","Indice_ressources_technologiques","Profil"
"Clearview Twp",1,28010,3,462,11095,0.0968582649053909,-0.242237662861324,"Grands réseaux de bibliothèques"
"Cobourg",1,30382,5,76,18369,0.261602264498716,-0.248661392986339,"Grands réseaux de bibliothèques"
"Cochrane Public Library Board",2,4371,1,39,4000,0.42301532830016,0.0780792335335556,"Bibliothèques locales intermédiaires"
"Collingwood",2,23815,1,64,20000,0.320722233886206,-0.208740254572086,"Bibliothèques locales intermédiaires"
"Cornwall",2,45723,1,39,23300,0.184371104258251,-0.232447545040859,"Bibliothèques locales intermédiaires"
"Deep River",2,4109,1,39,11000,0.359454855195911,-0.229144610610398,"Bibliothèques locales intermédiaires"
"Delaware FN",3,238,1,15,400,1.57563025210084,-0.114040807047365,"Petites bibliothèques à forte offre technologique"
"Deseronto",2,1645,1,39,4144,0.280851063829787,0.063966002861406,"Bibliothèques locales intermédiaires"
"Douro-Dummer Twp",2,5869,1,26,1485,0.066110069858579,-0.251824828999917,"Bibliothèques locales intermédiaires"
"Dryden",2,7749,1,54,6100,0.226738934056007,-0.247626074417645,"Bibliothèques locales intermédiaires"
"Ear Falls Twp",2,995,1,30,2475,0.166834170854271,0.29799488619336,"Bibliothèques locales intermédiaires"
"East Ferris",2,4862,1,36,2496,0.17379679144385,-0.178547263308323,"Bibliothèques locales intermédiaires"
"East Gwillimbury",2,23991,2,94,15000,0.31707723729732,-0.116017891366614,"Bibliothèques locales intermédiaires"
"Edwardsburgh/Cardinal Twp",2,7093,2,30,3691,0.092485549132948,-0.223472202629568,"Bibliothèques locales intermédiaires"
"Elgin County",1,50069,11,339,31448,0.17413968723162,-0.093559229328045,"Grands réseaux de bibliothèques"
"Elliot Lake",2,10741,1,51.5,10059,0.15101014803091,-0.141161453070652,"Bibliothèques locales intermédiaires"
"Englehart",2,2184,1,27,4275,0.32967032967033,0.605868573420987,"Bibliothèques locales intermédiaires"
"Espanola",2,6272,1,56,6000,0.145886479591837,-0.166330630234137,"Bibliothèques locales intermédiaires"
"Essa",2,32058,2,82,13500,0.104872418741032,-0.165057746468578,"Bibliothèques locales intermédiaires"
"Essex County",1,181530,14,534,72036,0.13315705393048,-0.245526760888104,"Grands réseaux de bibliothèques"
"Fort Erie",1,30710,3,119,22000,0.246304135460762,-0.132278374628119,"Grands réseaux de bibliothèques"
"Fort Frances",2,8708,1,55,14800,0.289044556729444,-0.0222582910840629,"Bibliothèques locales intermédiaires"
"French River",2,3536,2,25,2200,0.240384615384615,0.0012529559798417,"Bibliothèques locales intermédiaires"
"Front of Yonge Twp",2,2752,1,21,1453,0.10719476744186,-0.165516129732581,"Bibliothèques locales intermédiaires"
"Gananoque",2,5159,1,30,3200,0.476836596239581,-0.190427196299933,"Bibliothèques locales intermédiaires"
"Georgian Bay Twp",2,2063,3,65,6000,0.380029083858459,0.120213899162521,"Bibliothèques locales intermédiaires"
"Georgina",1,52772,3,54,31500,0.21572045781854,-0.227177036537982,"Grands réseaux de bibliothèques"
"Gore Bay Union",2,1790,1,21,2000,0.379888268156425,-0.254017576427375,"Bibliothèques locales intermédiaires"
"Grand Valley Library Board",2,8432,1,52,4300,0.203154648956357,-0.214821573695059,"Bibliothèques locales intermédiaires"
"Gravenhurst Public Library",2,12310,1,50,8000,0.346547522339561,-0.157141182033236,"Bibliothèques locales intermédiaires"
"Greater Madawaska Twp",2,2518,1,21,1457,0.209293089753773,-0.214051434589251,"Bibliothèques locales intermédiaires"
"Greenstone",2,4636,4,74,9940,0.285591026747196,0.501962910240646,"Bibliothèques locales intermédiaires"
"Grey Highlands",2,9804,3,75.5,12000,0.32578539371685,-0.22529961064551,"Bibliothèques locales intermédiaires"
"Grimsby",2,27314,1,64,16000,0.213187376436992,-0.163736888227173,"Bibliothèques locales intermédiaires"
"Guelph",1,131790,6,192,62852,0.400083466120343,-0.166742330496913,"Grands réseaux de bibliothèques"
"Haldimand County",1,45608,6,251,45950,0.237589896509384,-0.247034654916038,"Grands réseaux de bibliothèques"
"Haliburton County",1,18062,6,282,14580,0.382460414129111,-0.193176813602366,"Grands réseaux de bibliothèques"
"Halton Hills",1,61161,3,111,41373,0.27336047481238,-0.218293063539874,"Grands réseaux de bibliothèques"
"Hamilton",1,579000,23,1337,379574,0.231506044905009,-0.239516084048271,"Grands réseaux de bibliothèques"
"Hanover",2,7688,1,40,5500,0.173777315296566,-0.252381240530887,"Bibliothèques locales intermédiaires"
"Hastings Highlands Twp",2,4075,1,34,5150,0.199509202453988,-0.188680571349819,"Bibliothèques locales intermédiaires"
"Havelock-Belmont-Methuen Twp",2,4535,2,27,3200,0.409040793825799,-0.172937264157904,"Bibliothèques locales intermédiaires"
"Hawkesbury",2,13215,1,45,8440,0.116231555051078,-0.239460867808132,"Bibliothèques locales intermédiaires"
"Head, Clara & Maria",3,206,1,7,500,0.432038834951456,0.956744440452495,"Petites bibliothèques à forte offre technologique"
"Hearst Twp",2,5750,1,46,4800,0.130434782608696,-0.248469932082161,"Bibliothèques locales intermédiaires"
"Henvey Inlet FN",2,192,1,31.5,1216,0.364583333333333,0.0148183430261501,"Bibliothèques locales intermédiaires"
"Hilton Union",3,465,1,12,690,0.913978494623656,0.278616717170752,"Petites bibliothèques à forte offre technologique"
"Hornepayne Twp",2,980,1,22.5,754,0.325510204081633,0.160520751335483,"Bibliothèques locales intermédiaires"
"Huntsville",2,15012,1,36,12000,0.376298960831335,-0.246073762731248,"Bibliothèques locales intermédiaires"
"Huron County",1,63107,13,329,46613,0.272727272727273,-0.196695447595156,"Grands réseaux de bibliothèques"
"Huron Shores",2,1664,1,12,2160,0.0799278846153846,-0.111614530804625,"Bibliothèques locales intermédiaires"
"Ignace",2,1202,1,10,5000,0.198003327787022,0.0974728796515366,"Bibliothèques locales intermédiaires"
"Innisfil",1,40784,4,125,36572,0.578805413887799,-0.149691389025855,"Grands réseaux de bibliothèques"
"Iroquois Falls",2,4537,1,35,3500,0.10756006171479,-0.200602074036196,"Bibliothèques locales intermédiaires"
